,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
179,10.82949082,33.92029928,3.653637868,27.85976235,9.00E-05,2.052,422.29125
180,10.01634483,31.61262588,4.412655662,31.87222861,8.05E-05,2.375,398.3025
181,9.127538626,27.5971214,4.523293835,31.13432828,6.30E-05,2.375,398.3025
182,8.159936696,24.64781907,4.795231974,33.02705676,5.09E-05,2.657,414.845
183,7.377943368,21.56865377,4.874337079,33.51046894,3.77E-05,2.657,414.845
184,6.888620744,19.73936324,4.968087759,32.37237116,3.00E-05,2.799,380.14
185,6.246903345,18.01284166,4.809332648,32.91127899,2.35E-05,2.799,380.14
186,5.861672188,17.22641192,5.243211191,32.81907565,2.19E-05,2.984,359.98875
187,5.636212443,16.62565127,5.109112804,33.71463325,1.96E-05,2.984,359.98875
188,5.369727074,16.16914828,5.045935265,32.24468219,1.90E-05,3.171,296.66375
189,5.276503631,15.95847631,5.122096828,32.46585872,1.80E-05,3.171,296.66375
190,5.313227496,15.96717355,4.92579797,31.39976258,1.79E-05,3.217,222.4125
191,5.220424017,15.60218209,5.058668089,32.0432657,1.63E-05,3.217,222.4125
192,8.997330466,22.13643446,4.930920628,32.7316012,2.64E-05,3.227,190.35875
193,8.909565703,21.84497915,5.050633755,31.58787268,2.80E-05,3.227,190.35875
194,9.137599982,23.41003056,4.567829075,29.68703223,3.62E-05,3.203,202.09375
195,9.450471295,26.39698839,4.525280562,30.26568533,5.10E-05,3.203,202.09375
196,9.926221027,32.38206123,4.358677264,28.46274401,7.28E-05,3.102,189.14625
197,10.63178341,39.24996351,4.260075234,28.84554088,0.000102981,3.102,189.14625
198,11.38627632,44.45604856,3.585238313,24.29284582,0.000132392,2.998,181.36125
199,12.12341303,48.36381411,3.616507487,24.78838756,0.000147155,2.998,181.36125
200,12.41067075,50.43411914,2.748062929,19.45673135,0.000150493,2.978,180.86375
201,12.43761893,49.25689574,2.789089798,19.26644729,0.000148353,2.978,180.86375
202,12.2630267,47.31366531,2.08864713,14.35272805,0.000136818,2.999,193.6325
203,12.29158324,45.2211498,1.99263234,14.53640951,0.000127542,2.999,193.6325
204,12.50323432,45.69808669,1.372023464,10.56012463,0.000126173,2.97,234.7275
205,12.59775371,46.38458191,1.420552313,10.6566559,0.000122266,2.97,234.7275
206,9.465703773,42.44939269,0.911131732,7.379463387,0.000111928,2.892,267.3975
207,10.13455126,40.52200466,0.896323949,7.228234765,0.000109926,2.892,267.3975
208,10.80419876,44.2552447,0.425377393,4.470990751,0.000112671,2.828,312.88
209,11.49368251,43.53280452,0.436833933,4.422674049,0.00010791,2.828,312.88
210,11.96276183,42.59630758,0.217338319,2.946242058,0.000100871,2.99,292.35
211,12.0295716,42.29901339,0.219069999,2.841115611,0.000101404,2.99,292.35
212,12.00920134,42.78483427,0.09041541,1.636243882,0.00010564,3.288,314.73875
213,12.01667295,41.48193145,0.085930328,1.67350012,0.000102169,3.288,314.73875
214,12.07998451,41.7424529,0.100418673,1.271188104,0.000108314,3.344,309.79125
215,12.46839451,43.98187096,0.101037972,1.293317821,0.000116204,3.344,309.79125
216,12.70513975,44.91698117,0.227115101,1.740826561,0.000123224,3.301,328.42
217,12.82719404,45.32671467,0.229440822,1.723024809,0.000119242,3.301,328.42
218,13.11338868,45.07870317,0.55579391,3.618638156,0.00012154,3.224,333.36875
219,13.27729517,44.68365916,0.593007103,3.744954858,0.000122442,3.224,333.36875
220,13.52637212,46.87573562,1.172224168,7.341814554,0.000132663,3.065,273.70875
221,13.66174603,46.94938282,1.24158247,7.28902329,0.000132634,3.065,273.70875
222,13.73039772,46.85459498,1.979542431,11.94825136,0.000135658,2.732,358.7925
223,13.66381536,46.46138635,1.888416227,11.77511417,0.000139396,2.732,358.7925
224,13.53593588,45.29958349,2.737636901,17.21437292,0.000129696,2.389,381.3375
225,13.11866568,42.96668207,2.647345962,16.73092671,0.000125971,2.389,381.3375
226,12.19662556,39.98617891,3.640318427,22.35341511,0.000114786,2.286,399.3525
227,11.24003731,36.62304616,3.463226425,21.61088514,0.000101736,2.286,399.3525
228,10.56181844,33.55883528,4.673843145,27.99860229,8.82E-05,2.181,480.98125
229,9.452711956,29.94482256,4.733982601,27.67137411,7.36E-05,2.181,480.98125
230,8.544211723,26.23653108,5.96509245,35.21470133,5.80E-05,2.097,410.47125
231,7.932919671,23.45677817,5.901442548,34.9085363,4.58E-05,2.097,410.47125
232,7.181533974,21.61498367,8.201819725,45.96320571,3.86E-05,2.2,387.86
233,6.516956121,19.33052343,8.515873238,45.44385155,2.99E-05,2.2,387.86
234,6.109140503,18.03185765,9.571657257,52.06321154,2.53E-05,2.391,322.88375
235,5.712873023,17.29353416,9.713699974,52.74675484,2.33E-05,2.391,322.88375
236,5.543610565,16.73969597,8.651133728,49.726102,2.11E-05,2.443,276.52375
237,5.362276249,16.13141867,9.019609407,48.2546986,1.87E-05,2.443,276.52375
238,5.328746702,16.06977152,9.100074124,50.16776884,1.85E-05,2.334,199.68375
239,5.326169382,15.82505124,9.147234572,50.78947126,1.71E-05,2.334,199.68375
240,9.072394808,20.27693635,9.258628086,51.65059995,2.15E-05,2.063,178.475
241,8.977034619,20.41269845,9.057068046,50.77954744,2.26E-05,2.063,178.475
242,9.064623769,21.17946319,10.03625862,55.07438704,2.62E-05,1.786,165.3625
243,9.309568216,22.79180178,10.02301252,54.64164621,3.43E-05,1.786,165.3625
